Orthogroup	cs.A	cs.B	cs.D
TraesCS1A02G054200	0	0	0
TraesCS1A02G054300	11.703	4.212	10.4855
TraesCS1A02G054400	0	0	15.812
TraesCS1A02G054500	0.107	0	0
TraesCS1A02G054600	0	0	0
TraesCS1A02G054900	2.274	0.2375	1.318
TraesCS1A02G055000	8.149	0.327	9.368
TraesCS1A02G055100	0	0	0
TraesCS1A02G055200	8.6755	4.894	10.9625
TraesCS1A02G055300	0	0	0
TraesCS1A02G055400	0	4.746	13.4265
TraesCS1A02G055700	0	0	0
TraesCS1A02G055800	0.103	0.2405	1.3005
TraesCS1A02G056100	1.127	0	0
TraesCS1A02G056105	1.488	1.446	0.083
TraesCS1A02G056200	0.125	0	0.317
TraesCS1A02G056400	0.0895	0	0.317
TraesCS1A02G056500	0	1.393	0
TraesCS1A02G056600	0.6485	0	0
TraesCS1A02G056900	0.041	0	0.4465
TraesCS1A02G057200	0.0545	0.197	0
TraesCS1A02G057300	4.3105	0.2405	0
TraesCS1A02G057400	1.0725	0	1.3005
TraesCS1A02G057600	0	0	0
TraesCS1A02G057700	0.2625	0	0.05
TraesCS1A02G057900	0.1415	0.08	0.218
TraesCS1A02G058200	5.724	2.3245	0.0125
TraesCS1A02G058400	0.0795	0	0.1155
TraesCS1A02G058500	21.9425	4.448	0
TraesCS1A02G058600	0	0	0
TraesCS1A02G058700	0.132	0.037	0.0635
TraesCS1A02G058900	0	0	0.3835
TraesCS1A02G059100	3.8735	0.2175	4.633
TraesCS1A02G059800	0.232	0	0.388
TraesCS1A02G059900	0.277	0.0375	0.1555
TraesCS1A02G060100	9.064	0.66	11.4935
TraesCS1A02G060600	0	0	1.4445
TraesCS1A02G060700	50.5885	12.4575	0
TraesCS1A02G060900	0.6295	0	0.036
TraesCS1A02G061000	0.1325	0	0.072
TraesCS1A02G061100	0.107	0	0.186
TraesCS1A02G061200	0	0	0.186
TraesCS1A02G061300	0	0	0.186
TraesCS1A02G061400	0	0.0375	0.072
TraesCS1A02G061500	0	0	0
TraesCS1A02G061600	0.0175	0	0
